title,areacode,addr1,cat2,mapx,mapy,firstimage
남면 벚꽃길,34,충청남도 태안군 남면 달산포로 311,A0101,126.2981322,36.67176536,http://tong.visitkorea.or.kr/cms/resource/33/3067933_image2_1.jpg
남면생활체육공원,32,강원특별자치도 인제군 남면 신남리,A0202,128.0821895,37.96424781,http://tong.visitkorea.or.kr/cms/resource/08/3038708_image2_1.jpg
남문안당산,37,전북특별자치도 부안군 부안읍 남문안길 10,A0201,126.7349563,35.73082503,
남문터광장,38,전라남도 순천시 중앙로 93 (영동),A0202,127.4831988,34.9539396,http://tong.visitkorea.or.kr/cms/resource/78/3062278_image2_1.jpg
남미륵사,38,전라남도 강진군 군동면 풍동1길 24-13,A0201,126.8554698,34.65318774,
남미질부성,35,경상북도 포항시 북구 흥해읍,A0201,129.3495674,36.10650459,
남복리오층석탑,37,전북특별자치도 정읍시 고부면 영원로 596-31,A0205,126.7783665,35.61532223,
남부산교회,6,부산광역시 부산진구 진남로 300 남부산교회,A0203,129.0732462,35.15237627,http://tong.visitkorea.or.kr/cms/resource/00/2947000_image2_1.jpg
남부산림자원연구소,36,경상남도 진주시 진주대로 672,A0206,128.1066247,35.16681269,http://tong.visitkorea.or.kr/cms/resource/48/3040248_image2_1.jpg
남부수자원생태공원,31,경기도 부천시 연동로 89,A0202,126.8274069,37.47032106,http://tong.visitkorea.or.kr/cms/resource/69/2736469_image2_1.jpg
남사예담촌,36,경상남도 산청군 단성면 지리산대로2897번길 10,A0201,127.9364785,35.27419481,
남산 야외식물원,1,서울특별시 용산구 소월로 323,A0101,126.9969034,37.54156581,http://tong.visitkorea.or.kr/cms/resource/85/2526385_image2_1.jpg
남산 케이블카,1,서울특별시 중구 소파로 83,A0203,126.9841041,37.55699712,
남산 팔각정,1,서울특별시 중구 예장동 8-1,A0205,126.9876206,37.55163947,
남산 화강암 (경북 동해안 국가지질공원),35,경상북도 경주시 남산순환로 341-126,A0102,129.2217931,35.79499292,http://tong.visitkorea.or.kr/cms/resource/85/2614485_image2_1.bmp
남산골한옥마을,1,서울특별시 중구 퇴계로34길 28,A0201,126.9940059,37.55912483,http://tong.visitkorea.or.kr/cms/resource/62/1946562_image2_1.jpg
남산공원 백범광장,1,,A0202,126.9838042,37.55384748,http://tong.visitkorea.or.kr/cms/resource/64/2947264_image2_1.jpg
남산공원(고성),36,경상남도 고성군 고성읍 동외로47번길 70,A0101,128.3271579,34.96735845,
남산공원(서울),1,서울특별시 중구 삼일대로 231,A0202,126.9922506,37.55571131,
남산공원(화순),38,전라남도 화순군 화순읍 진각로 87,A0202,126.9849483,35.05912758,
남산공원오토캠핑장,36,경상남도 고성군 고성읍 공룡로 3165,A0302,128.3287775,34.95561257,http://tong.visitkorea.or.kr/cms/resource/13/2729113_image2_1.jpg
남산동 가톨릭타운(대구),4,대구광역시 중구 남산로4길 112,A0203,128.587897,35.85987377,
남산마을,38,전라남도 구례군 토지면 내서리,A0203,127.5733169,35.23953956,http://tong.visitkorea.or.kr/cms/resource/07/2790307_image2_1.jpg
남산사(정읍),37,전북특별자치도 정읍시 북면 정신로 183-64,A0201,126.8623314,35.60850777,http://tong.visitkorea.or.kr/cms/resource/39/1605639_image2_1.jpg
남산서울타워,1,서울특별시 용산구 남산공원길 105,A0205,126.9878984,37.55110899,
남산서울타워 한복문화체험관,1,서울특별시 용산구 남산공원길 105,A0203,126.9878595,37.5511312,http://tong.visitkorea.or.kr/cms/resource/12/2435112_image2_1.jpg
남산서원(김제),37,전북특별자치도 김제시 성덕면 만경로 600-92,A0201,126.824751,35.84080848,
남산순환나들길,1,서울특별시 중구 남산공원길 609,A0101,126.9868789,37.5547391,http://tong.visitkorea.or.kr/cms/resource/94/2796194_image2_1.jpg
남산예장공원,1,서울특별시 중구 주자동,A0202,126.9888869,37.5605218,http://tong.visitkorea.or.kr/cms/resource/98/3067298_image2_1.JPG
남서울승마클럽,31,경기도 용인시 처인구 모현읍 동림리,A0302,127.191008,37.34220632,http://tong.visitkorea.or.kr/cms/resource/86/3046386_image2_1.jpg
남서일몰전망대,35,경상북도 울릉군 서면 남서리,A0205,130.8249257,37.47659754,
남선공원,3,대전광역시 서구 남선로 66,A0202,127.3967005,36.34530253,http://tong.visitkorea.or.kr/cms/resource/98/2758598_image2_1.jpg
남선창고터,6,부산광역시 동구 초량로13번길 53,A0201,129.0395112,35.1167963,http://tong.visitkorea.or.kr/cms/resource/79/3070879_image2_1.JPG
